Prey/Predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
"Herring (juvenile 0, 1)",0.01079957,0.01049954,9.80002E-05,0.02030163,0.006349568,0.02019798,0.01120224,0,0,0.00320032,0.0368,0.1393,0.003700666,0.02409826,0.00330033,0.05213181,0,0.01540106,0.00020014,0.04679541,0.02639871,0,0,0.2578258,0,0.0930279,0.00130009,0,0,0,0.01129965,0.04339523,0,0.00250025,0,0,0,0,0,0,0.01490149,0,0,0,0,0,0.00039996,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring (adult),0,0.002599886,0.005800012,0.01490119,0.06199578,0.1779822,0.1007201,0.005449591,0,0.0080008,0,0,0.00200036,0.05629595,0,0,0,0,0,0.1899814,0,0,0,0.1130113,0,0.0930279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprat,0.0100996,0.08209638,0.002700006,0.0338027,0.02289844,0.03879612,0,0.01382582,0.0001,0.00020002,0.0182,0,0.01010182,0.01329904,0.01420142,0.156501,0,0.001000069,0.1143801,0.05669444,0.102995,0.0102,0,0,0.00389961,0.00290087,0.01420098,0,0,0,0.05979814,0.00563938,0,0,0,0,0,0,0,0,0.150015,0.3376662,0.05010501,0,0,0.00049995,0.00129987,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackerel,0.09379625,0.01539932,0,0.01490119,0.01359908,0.07779222,0.1526305,0.004743163,0,0,0,0,0,0.01239911,0,0,0,0,0,0.003799628,0.1642919,0,0,0,0,0.05311593,0.000700048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horse mackerel,0,0.009699574,0.01180002,0.00676054,0,0.01839816,0,0,0,0,0,0,0.000800144,0.002799798,0.00160016,0.009919818,0,0,0,0,0.1794912,0,0,0,0,0,0.001200083,0,0,0,0.006209807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609939,0,0,0.01042189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandeels,0.6546738,0.2147906,0.2858006,0.2218177,0.01429903,0.03669633,0,0.01110102,0.3959,0.4718472,0.0344,0.333,0.1359245,0.04909647,0.3034303,0.323766,0.1285131,0.2883199,0.009406584,0.02009803,0,0,0,0.2767277,0.0009999,0.1328399,0.4116284,0,0,0,0.2625919,0.03859575,0,0.00750075,0,0.02322294,0,0,0,0,0.1592159,0.01839816,0.2005201,0,0,0.000059994,0.3284672,0,0.04138691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plaice,0,0,0.05840012,0,0,0.04509549,0.0610122,0.002018367,0,0,0.0087,0,2.00036E-05,0.01759873,0,0,0,3.70026E-05,0,0,0,0,0,0,0,0.00290087,3.10021E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dab,0,0,0.0469001,0,0.006649548,0.00649935,0.0610122,0.005853265,0.0029,0.02650265,0,0.0025,0.006101098,0.1698878,0.00030003,0.000135078,0,0.000200014,0,0.000599941,0,0,0,0,0.0049995,0.02360708,0.008600594,0,0,0,0,0,0,0,0,0.03766155,0.06060606,0,0,0,0.06050605,0,0,0,0,0.00019998,0.03709629,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-rough dab,0,5.19977E-05,0.01010002,0,0,0,0,0.002119285,0.0012,0.01860186,0,0.0016,0.02160389,0.05129631,0.00420042,0.00598355,0.0206021,0.003200221,0,0.000399961,0,0,0,0.01220122,0,0.0353106,0.01510104,0,0,0,0,0,0,0,0,0,0.0440044,0,0,0,0,0,0,0,0,0,0,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounder,0,0,0.01080002,0,0,0,0,0,0,0,0,0,0,0.003299762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005210943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
