EcopathName,CameoName,Region,CombinedEcopathName,TrophicLevel,LengthAtMat,
Large demersal feeders,Eelpouts (NS),sGoSL,,,,
Large demersal feeders,Marlin-spike grenadier,sGoSL,,,,
Large demersal feeders,Longfin hake,sGoSL,,,,
Small demersal feeders,Cunner,sGoSL,,4.1,34.9,Out
Small demersal feeders,Longhorn sculpin,sGoSL,,4.2,46,
Small demersal feeders,Shorthorn sculpin,sGoSL,,3.2,55,
Small demersal feeders,Sea raven,sGoSL,,4.5,122,Out
Small demersal feeders,Perciformes,sGoSL,,,,
Small demersal feeders,Scorpaeniformes,sGoSL,,,,
Capelin,Capelin,sGoSL,,3.2,13.5,In
Large pelagic feeders,Spiny dogfish,sGoSL,,4.3,,Out
Piscivorous small pelagics,Shortfin squid,sGoSL,,,,
Planktivorous small pelagics,Alewife,sGoSL,,,,
Planktivorous small pelagics,Rainbow smelt,sGoSL,,,,
Planktivorous small pelagics,Atlantic herring,sGoSL,,3.2,16.7,In
Shrimp,Shrimps (NS),sGoSL,,,,
Large crustacea,Snow crab,sGoSL,,,,Out
Large crustacea,Toad crabs (NS),sGoSL,,,,Out
Large crustacea,Rock crab,sGoSL,,,,Out
"Juvenile Cod(0-2, 0-40cm)",Atlantic cod,NORT,Cod,4.4,63.4,Out
Cod (adult),Atlantic cod,NORT,Cod,4.4,63.4,Out
"Juvenile Whiting (0-1, 0-20cm)",Whiting,NORT,Whiting,4.4,,Out
Whiting (adult),Whiting,NORT,Whiting,4.4,,Out
"Juvenile Haddock (0-1, 0-20cm)",Haddock,NORT,Haddock,4.1,34.9,Out
Haddock (adult),Haddock,NORT,Haddock,4.1,34.9,Out
"Juvenile Saithe (0-3, 0-40cm)",Pollock,NORT,Saithe,4.4,39.1,Out
Saithe (adult),Pollock,NORT,Saithe,4.4,39.1,Out
Norway pout,Norway pout,NORT,,3.2,,
"Herring (juvenile 0, 1)",Atlantic herring,NORT,Herring,3.2,16.7,In
Herring (adult),Atlantic herring,NORT,Herring,3.2,16.7,In
Sandeels,Lesser sandeel,NORT,,3.1,,In
Plaice,European plaice,NORT,,3.3,30.8,
Sole,Common sole,NORT,,3.1,30.3,In
Adult Cod,Atlantic cod,ESS,Cod,4.4,63.4,Out
Juvenile Cod,Atlantic cod,ESS,Cod,4.4,63.4,Out
Silver hake,Silver hake,ESS,Silver.Hake,4.3,23.2,In
Juv Silver Hake,Silver hake,ESS,Silver.Hake,4.3,23.2,In
Haddock,Haddock,ESS,,4.1,34.9,Out
Skates,Barndoor skate,ESS,,,,
Skates,Skates (NS),ESS,,,,Out
Dogfish,Spiny dogfish,ESS,,4.3,81.4,Out
Redfish,Atlantic redfishes (NS),ESS,,,,
