GroupName,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Pollock Trawl,Cod Trawl,Cod Pots,Cod Longline,Atka Trawl,RSflats_TWL,YFSflats_TWL,ATFflats_TWL,FHSflats_TWL,Oth_Flatfish_TWL,Turbot Trawl,Turbot Longline,Sablefish Longline,Rockfish Trawl,Halibut Longline,Crab Pots,Salmon Fishery,Herring Fishery,Indigenous,Subsistence,disc_Pollock Trawl,disc_Cod Trawl,disc_Cod Pots,disc_Cod Longline,disc_Atka Trawl,disc_RSflats_TWL,disc_YFSflats_TWL,disc_ATFflats_TWL,disc_FHSflats_TWL,disc_Oth_Flatfish_TWL,disc_Turbot Trawl,disc_Turbot Longline,disc_Sablefish Longline,disc_Rockfish Trawl,disc_Halibut Longline,disc_Crab Pots,disc_Salmon Fishery,disc_Herring Fishery,disc_Indigenous,disc_Subsistence
W. Pollock_Juv,0,4.492684,1.453282,8.4045,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock,0,18.48621,0.6672099,3.17,,,0,0.2,,0,0.02,0.392,0.588,0,0.3914902,0.005325836,0.000000015,0.000441989,3.15E-05,0.002278496,0.003908709,2.98E-05,0.000666599,0,1.82E-07,2.69E-06,0,6.38E-06,0,0,0,0,0,0,1.964364,0.04902144,1.01E-05,0.005913826,0.000229132,0.03204265,0.04484426,0.000106121,0.007597508,0,1.55E-05,9.45E-07,4.63E-07,0.000776982,0,0,0,0,0,0
P. Cod_Juv,0,0.1859541,1.782069,8.828409,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod,0,2.464969,0.4118969,2.28,,,0,0.2,,0,0.02,0.392,0.588,0,0.02964722,0.05834495,0.009141736,0.1012163,0.00011381,0.007203677,0.01556501,2.26E-05,0.002037872,0,4.54E-05,0.000107534,2.94E-05,0.000595581,0,0,0,0,0,0,0.01241925,0.06207876,0.008973588,0.1008869,2.55E-05,0.004597977,0.00763329,8.05E-07,0.00069777,0,5.26E-07,5.52E-06,3.25E-06,9.18E-05,0.000912915,0,0,0,0,0
Herring_Juv,0,0.1711577,1.051809,7.789666,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring,0,0.611558,0.32,3.52,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02152522,0,0,0.006360814,3.11E-06,0,0,0,5.02E-05,0.001126086,7.81E-08,6.37E-05,0,0,0,0,3.89E-07,0,0,0,2.15E-05,0,0
Arrowtooth_Juv,0,0.00624092,0.8101363,6.138721,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth,0,0.9443421,0.18,1.16,,,0,0.2,,0,0.02,0.392,0.588,0,0.003262086,0.000628127,5.57E-07,0.000957626,2.28E-05,7.79E-05,0.000294168,0.000152722,1.50E-05,0,0.000168393,0.00014512,8.97E-06,0.000149795,0,0,0,0,0,0,0.006588257,0.005959218,3.78E-06,0.003269991,0.00024501,0.003258861,0.0029898,0.000101848,0.004293245,0,0.001002192,0.000362237,0.000233396,0.001632294,0.000229308,0,0,0,0,0
Kamchatka fl._Juv,0,0.000370553,0.8101363,6.138721,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamchatka fl.,0,0.05607,0.18,1.16,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
