Prey \ Predator,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Discards,Offal,Pelagic Detritus,Benthic Detritus
Puffins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021615,0.000215108,0,0,0,0,0,0,0.00065053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulmars,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74E-05,2.72E-05,0,0,0,0,0,0,8.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storm Petrels,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-06,7.66E-06,0,0,0,0,0,0,2.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cormorants,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16E-05,1.16E-05,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulls,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E-05,1.8883E-05,0,0,0,0,0,0,5.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albatross Jaeger,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-06,7.66E-06,0,0,0,0,0,0,2.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeper shark,0,0.000417774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0063607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock_Juv,0,0,0.025926726,0,0,0.026130437,0.01337342,0.007015951,0,0.039289319,0.009294068,0.01060354,0,0.050470817,0,0.053408137,0,0.270443021,0.200159444,0.002277299,0.099951445,0.262212654,0.014591217,0.000589693,0.001716613,0.03559238,0,0,0.01458068,0.016461161,0.009383621,0.002114523,0.009382492,0,0,0.003809081,0.1010985,0,0.00144808,0,0,0.003740663,0,0.004982947,0,0,0,0,0.000728626,0.016579322,0.004939598,0.009517276,0.019999951,1.3787E-05,0,0,0,0,0,0,0,0,0,0,0.000149841,0.145314292,0,0,0.047307733,0.095297936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
