stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
CMACKPCOAST,172412,Scomber japonicus,Pacific chub mackerel,USA-NMFS-PCOAST,Pacific chub mackerel Pacific Coast,US West Coast,0,NA
CMACKPJPN,172412,Scomber japonicus,Chub mackerel,Japan-FAFRFJ-PJPN,Chub mackerel Pacific Coast of Japan,Russia Japan,0,NA
CMACKTSST,172412,Scomber japonicus,Chub mackerel,Japan-FAFRFJ-TSST,Chub mackerel Tsushima Strait,Russia Japan,0,
COD2J3KL,164712,Gadus morhua,Atlantic cod,Canada-DFO-2J3KL,Atlantic cod NAFO 2J3KL,Canada East Coast,1,COD2J3KL
COD3M,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3M,Atlantic cod NAFO 3M,Canada East Coast,1,COD3M
COD3NO,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3NO,Atlantic cod NAFO 3NO,Canada East Coast,1,COD3NO
COD3Pn4RS,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Pn4RS,Atlantic cod NAFO 3Pn4RS,Canada East Coast,1,COD3Pn4RS
COD3Ps,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Ps,Atlantic cod NAFO 3Ps,Canada East Coast,1,COD3Ps
COD4TVn,164712,Gadus morhua,Atlantic cod,Canada-DFO-4T,Atlantic cod NAFO 4TVn,Canada East Coast,1,COD4TVn
COD4VsW,164712,Gadus morhua,Atlantic cod,Canada-DFO-4VsW,Atlantic cod NAFO 4VsW,Canada East Coast,1,COD4VsW
COD4X,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X,Atlantic cod NAFO 4X,Canada East Coast,1,COD4X
CODBA2224,164712,Gadus morhua,Atlantic cod,multinational-ICES-22-24,Atlantic cod Baltic Areas 22 and 24,European Union,1,CODBA2224
CODBA2532,164712,Gadus morhua,Atlantic cod,multinational-ICES-25-32,Atlantic cod Baltic Areas 25-32,European Union,1,CODBA2532
CODCOASTNOR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II,Atlantic cod coastal Norway,Europe non EU,1,NA
CODFAPL,164712,Gadus morhua,Atlantic cod,multinational-ICES-Vb1,Atlantic cod Faroe Plateau,Europe non EU,1,NA
CODGB,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Z,Atlantic cod Georges Bank,US East Coast,1,COD5Z
CODGOM,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Y,Atlantic cod Gulf of Maine,US East Coast,0,NA
CODICE,164712,Gadus morhua,Atlantic cod,multinational-ICES-Va,Atlantic cod Iceland,Europe non EU,1,CODICE
CODIS,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIa,Atlantic cod Irish Sea,European Union,1,CODIS
CODKAT,164712,Gadus morhua,Atlantic cod,multinational-ICES-IIIa,Atlantic cod Kattegat,European Union,1,CODKAT
CODNEAR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II,Atlantic cod Northeast Arctic,Europe non EU,1,CODNEAR
CODNS,164712,Gadus morhua,Atlantic cod,multinational-ICES-IV,Atlantic cod North Sea,European Union,1,CODNS
CODVIa,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIa,Atlantic cod West of Scotland,European Union,1,CODVIa
CODVIIek,164712,Gadus morhua,Atlantic Cod,multinational-ICES-VIIe-k,Atlantic Cod Celtic Sea,European Union,0,
COWCODSCAL,166754,Sebastes levis,Cowcod,USA-NMFS-SCAL,Cowcod Southern California,US West Coast,0,NA
CRLOBSTERSA12,552953,Jasus lalandii,South African west coast rock lobster,South Africa-DETMCM-1-2,West coast rock lobster South Africa Areas 1-2,South Africa,0,
CRLOBSTERSA34,552953,Jasus lalandii,South African west coast rock lobster,South Africa-DETMCM-3-4,West coast rock lobster South Africa Areas 3-4,South Africa,0,
CRLOBSTERSA56,552953,Jasus lalandii,South African west coast rock lobster,South Africa-DETMCM-5-6,West coast rock lobster South Africa Areas 5-6,South Africa,0,
CRLOBSTERSA7,552953,Jasus lalandii,South African west coast rock lobster,South Africa-DETMCM-7,West coast rock lobster South Africa Area 7,South Africa,0,
CRLOBSTERSA8,552953,Jasus lalandii,South African west coast rock lobster,South Africa-DETMCM-8,West coast rock lobster South Africa Area 8,South Africa,0,
CROCKPCOAST,166734,Sebastes pinniger,Canary rockfish,USA-NMFS-PCOAST,Canary rockfish Pacific Coast,US West Coast,0,NA
CROCKWCVANISOGQCI,166734,Sebastes pinniger,Canary rockfish,Canada-DFO-WCVANI-SOG-QCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada West Coast,0,
CSKATMATLC,160855,Raja eglanteria,Clearnose skate,USA-NMFS-MATLC,Clearnose skate Mid-Atlantic Coast,US East Coast,0,
CTRACSA,168598,Trachurus capensis,Cape horse mackerel,South Africa-DETMCM-SASC,Cape horse mackerel South Africa South coast,South Africa,1,SAHMACK
CUSK4X,164740,Brosme brosme,Cusk,Canada-DFO-4X,Cusk NAFO 4X,Canada East Coast,0,NULL
DEEPCHAKESA,164796,Merluccius paradoxus,Deep-water cape hake,South Africa-DETMCM-SA,Deep-water cape hake South Africa,South Africa,0,
DEEPFLATHEADSE,644351,Platycephalus conatus,Deepwater flathead,Australia-AFMA-SE,Deepwater flathead Southeast Australia,Australia,0,
DKROCKPCOAST,166715,Sebastes crameri,Darkblotched rockfish,USA-NMFS-PCOAST,Darkblotched rockfish Pacific Coast,US West Coast,0,NA
DSOLEGA,172887,Microstomus pacificus,Dover sole,USA-NMFS-GA,Dover sole Gulf of Alaska,US Alaska,0,NA
DSOLEPCOAST,172887,Microstomus pacificus,Dover sole,USA-NMFS-PCOAST,Dover sole Pacific Coast,US West Coast,0,
DUSROCKGA,644604,Sebastes variabilis,Dusky rockfish,USA-NMFS-GA,Dusky rockfish Gulf of Alaska,US Alaska,0,
ESOLEHS,172921,Parophrys vetulus,English sole,Canada-DFO-HS,English sole Hecate Strait,Canada West Coast,0,NA
ESOLEPCOAST,172921,Parophrys vetulus,English sole,USA-NMFS-PCOAST,English sole Pacific Coast,US West Coast,0,NA
FLSOLEBSAI,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-BSAI,Flathead sole Bering Sea and Aleutian Islands,US Alaska,0,NA
