stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
SRAKEROCKBSAI,166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,US Alaska,0,NA
SSKAT5YZSNE,564151,Malacoraja senta,Smooth skate,USA-NMFS-5YZSNE,Smooth skate Gulf of Marine / Georges Bank-Southern New England,US East Coast,0,
SSLOBSTERSASC,552965,Palinurus gilchristi,Southern spiny lobster,South Africa-DETMCM-SASC,Southern spiny lobster South Africa South coast,South Africa,0,NA
SSTHORNHPCOAST,166783,Sebastolobus alascanus,Shortspine thornyhead,USA-NMFS-PCOAST,Shortspine thornyhead Pacific Coast,US West Coast,0,
STFLOUNNPCOAST,172893,Platichthys stellatus,Starry flounder,USA-NMFS-NPCOAST,Starry flounder Northern Pacific Coast,US West Coast,0,
STFLOUNSPCOAST,172893,Platichthys stellatus,Starry flounder,USA-NMFS-SPCOAST,Starry flounder Southern Pacific Coast,US West Coast,0,
STMARLINNEPAC,768127,Kajikia audax,Striped marlin,multinational-IATTC-NEPAC,Striped marlin Northeast Pacific,Atlantic Ocean,0,
STMARLINNPAC,768127,Kajikia audax,Striped marlin,USA-NMFS-NPAC,Striped marlin North Pacific,Pacific Ocean,0,
STMARLINSWPO,768127,Kajikia audax,Striped marlin,multinational-WCPFC-WPO,Striped marlin Southwestern Pacific Ocean,Pacific Ocean,0,NULL
STMARLINWCNPAC,768127,Kajikia audax,striped marlin,Multinational-ISC-WCNPAC,Striped marlin Western and Central North Pacific,Pacific Ocean,0,
STRIPEDBASSGOMCHATT,167680,Morone saxatilis,Striped bass,USA-NMFS-5YCHATT,Striped bass Gulf of Maine / Cape Hatteras,US East Coast,1,STRIPEDBASSUSA
SURFMATLC,80944,Spisula solidissima,Atlantic surfclam,USA-NMFS-MATLC,Atlantic surfclam Mid-Atlantic Coast,US East Coast,0,NA
SWHITSE,646043,Sillago flindersi,School whiting,Australia-AFMA-SE,School whiting Southeast Australia,Australia,0,
SWORDEPAC,172482,Xiphias gladius,swordfish,multinational-IATTC-EPAC,Swordfish Eastern Pacific,Pacific Ocean,0,
SWORDIO,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Swordfish Indian Ocean,Indian Ocean,0,
SWORDMED,172482,Xiphias gladius,Swordfish,multinational-ICCAT-MED,Swordfish Mediterranean Sea,Mediterranean-Black Sea,0,NA
SWORDNATL,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Swordfish North Atlantic,Atlantic Ocean,1,SWORDNA
SWORDNPAC,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Swordfish North Pacific,Pacific Ocean,0,
SWORDSATL,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL,Swordfish South Atlantic,Atlantic Ocean,1,SWORDSA
TANNERCRABBSAI,98429,Chionoecetes bairdi,Tanner crab,USA-NMFS-BSAI,Tanner crab Bering Sea and Aleutian Islands,US Alaska,0,
TARAKNZ,170262,Nemadactylus macropterus,Tarakihi,New Zealand-MFish-SA,Tarakihi New Zealand,New Zealand,0,
TASGIANTCRABTAS,-999,Pseudocarcinus gigas,Tasmanian giant crab,Australia-AFMA-TAS,Tasmanian giant crab Tasmania,Australia,0,NA
TIGERFLATSE,644187,Neoplatycephalus richardsoni,Tiger flathead,Australia-AFMA-SE,Tiger flathead Southeast Australia,Australia,0,
TILEMATLC,168546,Lopholatilus chamaeleonticeps,Tilefish,USA-NMFS-MATLC,Tilefish Mid-Atlantic Coast,US East Coast,0,NA
TILESATLC,168546,Lopholatilus chamaeleonticeps,Tilefish,USA-NMFS-SATLC,Tilefish Southern Atlantic coast,US Southeast/Gulf,0,NA
TREVALLYTRE7,168641,Pseudocaranx dentex,Trevally,New Zealand-MFish-TRE7,Trevally New Zealand Areas TRE 7,New Zealand,0,
TSKAT5YZSNE,564149,Amblyraja radiata,Thorny skate,USA-NMFS-5YZSNE,Thorny skate Gulf of Marine / Georges Bank-Southern New England,US East Coast,0,
VSNAPGM,168909,Rhomboplites aurorubens,Vermilion snapper,USA-NMFS-GM,Vermilion snapper Gulf of Mexico,US Southeast/Gulf,0,NA
VSNAPSATLC,168909,Rhomboplites aurorubens,Vermilion snapper,USA-NMFS-SATLC,Vermilion snapper Southern Atlantic coast,US Southeast/Gulf,0,NA
WAREHOUESE,172531,Seriolella brama,Blue Warehou,Australia-AFMA-ESE,Blue Warehou Eastern half of Southeast Australia,Australia,0,
WAREHOUWSE,172531,Seriolella brama,Blue Warehou,Australia-AFMA-WSE,Blue Warehou Western half of Southeast Australia,Australia,0,
WEAKFISHATLC,169241,Cynoscion regalis,Weakfish,USA-NMFS-ATLC,Weakfish Atlantic Coast,US East Coast,0,
WHAKE4VWX5,164732,Urophycis tenuis,White hake,Canada-DFO-4VWX5,"White hake Scotian Shelf, Bay of Fundy and Georges Bank",Canada East Coast,0,NA
WHAKEGBGOM,164732,Urophycis tenuis,White hake,USA-NMFS-5YZ,White hake Georges Bank / Gulf of Maine,US East Coast,0,NA
WHITBLACK,164758,Merlangius merlangus,Whiting,multinational-STECF-BLACK,Whiting Black Sea,European Union,0,NA
WHITNS-VIId,164758,Merlangius merlangus,Whiting,multinational-ICES-IV-VIId,Whiting NS-VIId,European Union,0,
WHITVIa,164758,Merlangius merlangus,Whiting,multinational-ICES-VIa,Whiting ICES VIa,European Union,1,WHITVIa
WHITVIIek,164758,Merlangius merlangus,Whiting,multinational-ICES-VIIe-k,Whiting ICES VIIe-k,European Union,0,NA
WINDOWGOMGB,172746,Scophthalmus aquosus,Windowpane,USA-NMFS-5YZ,Windowpane flounder - Gulf of Maine / Georges Bank,US East Coast,0,NA
WINDOWSNEMATL,172746,Scophthalmus aquosus,Windowpane,USA-NMFS-SNEMATL,Windowpane Southern New England-Mid Atlantic,US East Coast,0,NA
WINFLOUN5Z,172905,Pseudopleuronectes americanus,Winter Flounder,USA-NMFS-5Z,Winter Flounder NAFO-5Z,US East Coast,0,NA
WINFLOUND5Y,172905,Pseudopleuronectes americanus,Winter Flounder,USA-NMFS-5Y,Winter Flounder NAFO-5Y,US East Coast,0,NA
WINFLOUNDRI,172905,Pseudopleuronectes americanus,Winter flounder,USA-US State-RI,Winter flounder Rhode Island,US East Coast,0,NA
WINFLOUNSNEMATL,172905,Pseudopleuronectes americanus,Winter Flounder,USA-NMFS-SNEMATL,Winter Flounder Southern New England-Mid Atlantic,US East Coast,0,NA
WITFLOUN5Y,172873,Glyptocephalus cynoglossus,Witch Flounder,USA-NMFS-5Y,Witch Flounder NAFO-5Y,US East Coast,0,NA
WMARLINATL,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,White marlin Atlantic,Atlantic Ocean,0,
WPOLLAI,164722,Theragra chalcogramma,Walleye pollock,USA-NMFS-AI,Walleye pollock Aleutian Islands,US Alaska,0,NA
WPOLLEBS,164722,Theragra chalcogramma,Walleye pollock,USA-NMFS-EBS,Walleye pollock Eastern Bering Sea,US Alaska,1,WPOLLEBS
WPOLLGA,164722,Theragra chalcogramma,Walleye pollock,USA-NMFS-GA,Walleye pollock Gulf of Alaska,US Alaska,1,WPOLLGA
WPOLLNAVAR,164722,Theragra chalcogramma,Walleye pollock,Russia-RFFA-NAVAR,Walleye Pollock Navarinsky,Russia Japan,0,
WPOLLNSO,164722,Theragra chalcogramma,Walleye pollock,Russia-RFFA-NSO,Walleye pollock Northern Sea of Okhotsk,Russia Japan,0,
WPOLLWBS,164722,Theragra chalcogramma,Walleye pollock,Russia-RFFA-WBS,Walleye pollock Western Bering Sea,Russia Japan,0,
WROCKPCOAST,166719,Sebastes entomelas,Widow rockfish,USA-NMFS-PCOAST,Widow rockfish Pacific Coast,US West Coast,0,NA
WSKAT5YCHATT,564145,Leucoraja ocellata,Winter skate,USA-NMFS-5YCHATT,Winter skate Gulf of Maine / Cape Hatteras,US East Coast,0,
YELL3LNO,172909,Limanda ferruginea,Yellowtail Flounder,multinational-NAFO-3LNO,Yellowtail Flounder NAFO 3LNO,Canada East Coast,1,YELL3LNO
YELLCCODGOM,172909,Limanda ferruginea,Yellowtail flounder,USA-NMFS-CCOD5Y,Yellowtail flounder Cape Cod / Gulf of Maine,US East Coast,0,NA
YELLGB,172909,Limanda ferruginea,Yellowtail flounder,USA-NMFS-5Z,Yellowtail flounder Georges Bank,US East Coast,1,YELL5Z
YELLSNEMATL,172909,Limanda ferruginea,Yellowtail Flounder,USA-NMFS-SNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,US East Coast,1,YELLSNE
YEYEROCKPCOAST,166740,Sebastes ruberrimus,Yelloweye rockfish,USA-NMFS-PCOAST,Yelloweye rockfish Pacific Coast,US West Coast,0,NA
YFINATL,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Yellowfin tuna Atlantic,Atlantic Ocean,0,NA
YFINCWPAC,172423,Thunnus albacares,Yellowfin tuna,multinational-WCPFC-CWPAC,Yellowfin tuna Central Western Pacific,Pacific Ocean,0,NA
YFINEIO,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Yellowfin tuna Indian Ocean,Indian Ocean,0,
YFINEPAC,172423,Thunnus albacares,Yellowfin tuna,multinational-IATTC-NEPAC,Yellowfin tuna Eastern Pacific,Pacific Ocean,1,YFINNEPAC
YSOLEBSAI,172907,Limanda aspera,Yellowfin sole,USA-NMFS-BSAI,Yellowfin sole Bering Sea and Aleutian Islands,US Alaska,0,NA
YTROCKNPCOAST,166720,Sebastes flavidus,Yellowtail rockfish,USA-NMFS-NPCOAST,Yellowtail rockfish Northern Pacific Coast,US West Coast,0,
YTSNAPSATLC,168907,Ocyurus chrysurus,Yellowtail snapper,USA-NMFS-SATLC,Yellowtail snapper Southern Atlantic Coast,US Southeast/Gulf,0,
